#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ADU,2012-08-01 00:00,-94.9204,41.6994,91.40,60.80,36.08,100.00,4.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.40,KADU 010000Z AUTO 10004KT 10SM 33/16 A2997 RMK AO2
ADU,2012-08-01 00:10,-94.9204,41.6994,89.60,60.80,38.18,90.00,3.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.60,KADU 010010Z AUTO 09003KT 10SM 32/16 A2996 RMK AO2
ADU,2012-08-01 00:15,-94.9204,41.6994,89.60,60.80,38.18,90.00,4.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.60,KADU 010015Z AUTO 09004KT 10SM 32/16 A2996 RMK AO2
ADU,2012-08-01 00:20,-94.9204,41.6994,89.60,62.60,40.69,80.00,4.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.32,KADU 010020Z AUTO 08004KT 10SM 32/17 A2996 RMK AO2
ADU,2012-08-01 00:30,-94.9204,41.6994,87.80,64.40,45.88,80.00,3.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.33,KADU 010030Z AUTO 08003KT 10SM 31/18 A2996 RMK AO2
ADU,2012-08-01 00:35,-94.9204,41.6994,87.80,64.40,45.88,80.00,3.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.33,KADU 010035Z AUTO 08003KT 10SM 31/18 A2996 RMK AO2
ADU,2012-08-01 00:40,-94.9204,41.6994,87.80,64.40,45.88,0.00,0.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.33,KADU 010040Z AUTO 00000KT 10SM 31/18 A2996 RMK AO2
ADU,2012-08-01 00:50,-94.9204,41.6994,86.00,64.40,48.58,0.00,0.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.49,KADU 010050Z AUTO 00000KT 10SM 30/18 A2996 RMK AO2
ADU,2012-08-01 00:55,-94.9204,41.6994,84.20,66.20,54.80,0.00,0.00,0.00,M,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.50,KADU 010055Z AUTO 00000KT 10SM 29/19 RMK AO2
ADU,2012-08-01 01:00,-94.9204,41.6994,82.40,66.20,58.08,0.00,0.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.63,KADU 010100Z AUTO 00000KT 10SM 28/19 A2996 RMK AO2
ADU,2012-08-01 01:10,-94.9204,41.6994,82.40,66.20,58.08,0.00,0.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.63,KADU 010110Z AUTO 00000KT 10SM 28/19 A2996 RMK AO2
ADU,2012-08-01 01:15,-94.9204,41.6994,80.60,66.20,61.58,0.00,0.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.75,KADU 010115Z AUTO 00000KT 10SM 27/19 A2996 RMK AO2
ADU,2012-08-01 01:20,-94.9204,41.6994,80.60,66.20,61.58,0.00,0.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.75,KADU 010120Z AUTO 00000KT 10SM 27/19 A2996 RMK AO2
ADU,2012-08-01 01:30,-94.9204,41.6994,78.80,66.20,65.33,0.00,0.00,0.00,29.96,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KADU 010130Z AUTO 00000KT 10SM 26/19 A2996 RMK AO2
ADU,2012-08-01 01:35,-94.9204,41.6994,78.80,66.20,65.33,0.00,0.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KADU 010135Z AUTO 00000KT 10SM 26/19 A2997 RMK AO2
ADU,2012-08-01 01:40,-94.9204,41.6994,78.80,66.20,65.33,0.00,0.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KADU 010140Z AUTO 00000KT 10SM 26/19 A2997 RMK AO2
ADU,2012-08-01 01:50,-94.9204,41.6994,77.00,66.20,69.33,0.00,0.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KADU 010150Z AUTO 00000KT 10SM 25/19 A2997 RMK AO2
ADU,2012-08-01 01:55,-94.9204,41.6994,77.00,66.20,69.33,0.00,0.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KADU 010155Z AUTO 00000KT 10SM 25/19 A2997 RMK AO2
ADU,2012-08-01 02:00,-94.9204,41.6994,75.20,66.20,73.61,0.00,0.00,0.00,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KADU 010200Z AUTO 00000KT 10SM 24/19 A2997 RMK AO2
ADU,2012-08-01 02:10,-94.9204,41.6994,75.20,66.20,73.61,0.00,0.00,0.00,29.98,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KADU 010210Z AUTO 00000KT 10SM 24/19 A2998 RMK AO2
ADU,2012-08-01 02:15,-94.9204,41.6994,75.20,66.20,73.61,0.00,0.00,0.00,29.98,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KADU 010215Z AUTO 00000KT 10SM 24/19 A2998 RMK AO2
ADU,2012-08-01 02:20,-94.9204,41.6994,75.20,66.20,73.61,0.00,0.00,0.00,29.98,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KADU 010220Z AUTO 00000KT 10SM 24/19 A2998 RMK AO2
ADU,2012-08-01 02:30,-94.9204,41.6994,75.20,66.20,73.61,0.00,0.00,0.00,29.98,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KADU 010230Z AUTO 00000KT 10SM 24/19 A2998 RMK AO2
ADU,2012-08-01 02:35,-94.9204,41.6994,75.20,66.20,73.61,0.00,0.00,0.00,29.98,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KADU 010235Z AUTO 00000KT 10SM 24/19 A2998 RMK AO2
ADU,2012-08-01 02:40,-94.9204,41.6994,73.40,64.40,73.44,0.00,0.00,0.00,29.98,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KADU 010240Z AUTO 00000KT 10SM 23/18 A2998 RMK AO2
