#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AIO,2012-08-01 00:00,-95.0465,41.4059,93.20,62.60,36.35,70.00,7.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.20,KAIO 010000Z AUTO 07007KT 10SM CLR 34/17 A2993 RMK AO2
AIO,2012-08-01 00:10,-95.0465,41.4059,93.20,64.40,38.73,70.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.20,KAIO 010010Z AUTO 07005KT 10SM CLR 34/18 A2993 RMK AO2
AIO,2012-08-01 00:15,-95.0465,41.4059,93.20,64.40,38.73,70.00,6.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.20,KAIO 010015Z AUTO 07006KT 10SM CLR 34/18 A2993 RMK AO2
AIO,2012-08-01 00:20,-95.0465,41.4059,93.20,64.40,38.73,70.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.20,KAIO 010020Z AUTO 07005KT 10SM CLR 34/18 A2993 RMK AO2
AIO,2012-08-01 00:30,-95.0465,41.4059,91.40,64.40,40.96,70.00,6.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.19,KAIO 010030Z AUTO 07006KT 10SM CLR 33/18 A2993 RMK AO2
AIO,2012-08-01 00:35,-95.0465,41.4059,91.40,64.40,40.96,70.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.19,KAIO 010035Z AUTO 07005KT 10SM CLR 33/18 A2993 RMK AO2
AIO,2012-08-01 00:40,-95.0465,41.4059,91.40,64.40,40.96,70.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.19,KAIO 010040Z AUTO 07005KT 10SM CLR 33/18 A2993 RMK AO2
AIO,2012-08-01 00:50,-95.0465,41.4059,89.60,64.40,43.34,70.00,4.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.23,KAIO 010050Z AUTO 07004KT 10SM CLR 32/18 A2993 RMK AO2
AIO,2012-08-01 00:55,-95.0465,41.4059,89.60,64.40,43.34,70.00,4.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.23,KAIO 010055Z AUTO 07004KT 10SM CLR 32/18 A2993 RMK AO2
AIO,2012-08-01 01:00,-95.0465,41.4059,89.60,64.40,43.34,80.00,4.00,0.00,29.93,M,3.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,91.23,KAIO 010100Z AUTO 08004KT 3SM HZ CLR 32/18 A2993 RMK AO2
AIO,2012-08-01 01:10,-95.0465,41.4059,89.60,64.40,43.34,60.00,4.00,0.00,29.93,M,1.75,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,91.23,KAIO 010110Z AUTO 06004KT 1 3/4SM HZ CLR 32/18 A2993 RMK AO2 VIS 1V3
AIO,2012-08-01 01:15,-95.0465,41.4059,87.80,64.40,45.88,60.00,5.00,0.00,29.93,M,2.50,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,89.33,KAIO 010115Z AUTO 06005KT 2 1/2SM HZ CLR 31/18 A2993 RMK AO2
AIO,2012-08-01 01:20,-95.0465,41.4059,87.80,64.40,45.88,60.00,4.00,0.00,29.93,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.33,KAIO 010120Z AUTO 06004KT 7SM CLR 31/18 A2993 RMK AO2
AIO,2012-08-01 01:30,-95.0465,41.4059,86.00,64.40,48.58,50.00,4.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.49,KAIO 010130Z AUTO 05004KT 10SM CLR 30/18 A2993 RMK AO2
