#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
AXA,2012-08-01 00:00,-94.2724,43.0796,84.20,68.00,58.32,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.40,KAXA 010000Z 00000KT 10SM CLR 29/20 A2997 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:10,-94.2724,43.0796,84.20,68.00,58.32,320.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.40,KAXA 010010Z 32003KT 10SM CLR 29/20 A2998 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:15,-94.2724,43.0796,84.20,68.00,58.32,310.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.40,KAXA 010015Z 31003KT 10SM CLR 29/20 A2998 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:20,-94.2724,43.0796,84.20,68.00,58.32,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.40,KAXA 010020Z 00000KT 10SM CLR 29/20 A2998 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:30,-94.2724,43.0796,82.40,68.00,61.81,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.38,KAXA 010030Z 00000KT 10SM CLR 28/20 A2997 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:35,-94.2724,43.0796,84.20,68.00,58.32,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.40,KAXA 010035Z 00000KT 10SM CLR 29/20 A2996 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:40,-94.2724,43.0796,82.40,68.00,61.81,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.38,KAXA 010040Z 00000KT 10SM CLR 28/20 A2997 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:50,-94.2724,43.0796,82.40,68.00,61.81,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.38,KAXA 010050Z 00000KT 10SM CLR 28/20 A2997 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 00:55,-94.2724,43.0796,82.40,68.00,61.81,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.38,KAXA 010055Z 00000KT 10SM CLR 28/20 A2997 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
AXA,2012-08-01 01:00,-94.2724,43.0796,82.40,69.80,65.74,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.22,KAXA 010100Z 00000KT 10SM CLR 28/21 A2997 RMK AO2 CAUTION FOR AG AIRCRAFT WORKING OUT OF THE AIRPORT
