#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CCY,2012-08-01 00:00,-92.6132,43.0730,86.00,59.00,40.14,20.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.47,KCCY 010000Z AUTO 02004KT 10SM CLR 30/15 A2997 RMK AO2
CCY,2012-08-01 00:10,-92.6132,43.0730,84.20,57.20,39.86,30.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.20,KCCY 010010Z AUTO 03005KT 10SM CLR 29/14 A2997 RMK AO2
CCY,2012-08-01 00:15,-92.6132,43.0730,84.20,57.20,39.86,30.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.20,KCCY 010015Z AUTO 03004KT 10SM CLR 29/14 A2997 RMK AO2
CCY,2012-08-01 00:20,-92.6132,43.0730,84.20,57.20,39.86,30.00,3.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.20,KCCY 010020Z AUTO 03003KT 10SM CLR 29/14 A2997 RMK AO2
CCY,2012-08-01 00:30,-92.6132,43.0730,82.40,57.20,42.25,30.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.08,KCCY 010030Z AUTO 03003KT 10SM CLR 28/14 A2998 RMK AO2
CCY,2012-08-01 00:35,-92.6132,43.0730,82.40,57.20,42.25,30.00,3.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.08,KCCY 010035Z AUTO 03003KT 10SM CLR 28/14 A2997 RMK AO2
CCY,2012-08-01 00:40,-92.6132,43.0730,82.40,59.00,45.07,30.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.46,KCCY 010040Z AUTO 03003KT 10SM CLR 28/15 A2998 RMK AO2
CCY,2012-08-01 00:50,-92.6132,43.0730,80.60,59.00,47.79,40.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.11,KCCY 010050Z AUTO 04004KT 10SM CLR 27/15 A2998 RMK AO2
CCY,2012-08-01 00:55,-92.6132,43.0730,80.60,60.80,50.95,40.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.46,KCCY 010055Z AUTO 04003KT 10SM CLR 27/16 A2998 RMK AO2
CCY,2012-08-01 01:00,-92.6132,43.0730,80.60,60.80,50.95,30.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.46,KCCY 010100Z AUTO 03003KT 10SM CLR 27/16 A2998 RMK AO2
CCY,2012-08-01 01:10,-92.6132,43.0730,78.80,60.80,54.05,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KCCY 010110Z AUTO 00000KT 10SM CLR 26/16 A2998 RMK AO2
CCY,2012-08-01 01:15,-92.6132,43.0730,78.80,60.80,54.05,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KCCY 010115Z AUTO 00000KT 10SM CLR 26/16 A2998 RMK AO2
CCY,2012-08-01 01:20,-92.6132,43.0730,78.80,60.80,54.05,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KCCY 010120Z AUTO 00000KT 10SM CLR 26/16 A2998 RMK AO2
CCY,2012-08-01 01:30,-92.6132,43.0730,75.20,60.80,60.90,10.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCCY 010130Z AUTO 01005KT 10SM CLR 24/16 A2998 RMK AO2
CCY,2012-08-01 01:35,-92.6132,43.0730,75.20,60.80,60.90,20.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCCY 010135Z AUTO 02005KT 10SM CLR 24/16 A2998 RMK AO2
CCY,2012-08-01 01:40,-92.6132,43.0730,75.20,60.80,60.90,20.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCCY 010140Z AUTO 02005KT 10SM CLR 24/16 A2998 RMK AO2
