#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CIN,2012-08-01 00:00,-94.7889,42.0444,89.60,64.40,43.34,90.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.23,KCIN 010000Z AUTO 09005KT 10SM CLR 32/18 A2995 RMK AO2
CIN,2012-08-01 00:10,-94.7889,42.0444,89.60,64.40,43.34,90.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.23,KCIN 010010Z AUTO 09005KT 10SM CLR 32/18 A2995 RMK AO2
CIN,2012-08-01 00:15,-94.7889,42.0444,87.80,64.40,45.88,90.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.33,KCIN 010015Z AUTO 09005KT 10SM CLR 31/18 A2995 RMK AO2
CIN,2012-08-01 00:20,-94.7889,42.0444,87.80,64.40,45.88,100.00,6.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.33,KCIN 010020Z AUTO 10006KT 10SM CLR 31/18 A2995 RMK AO2
CIN,2012-08-01 00:30,-94.7889,42.0444,87.80,66.20,48.84,100.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.31,KCIN 010030Z AUTO 10005KT 10SM CLR 31/19 A2995 RMK AO2
CIN,2012-08-01 00:35,-94.7889,42.0444,86.00,66.20,51.72,100.00,6.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.39,KCIN 010035Z AUTO 10006KT 10SM CLR 30/19 A2995 RMK AO2
CIN,2012-08-01 00:40,-94.7889,42.0444,86.00,66.20,51.72,100.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.39,KCIN 010040Z AUTO 10004KT 10SM CLR 30/19 A2995 RMK AO2
CIN,2012-08-01 00:50,-94.7889,42.0444,84.20,66.20,54.80,70.00,6.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.50,KCIN 010050Z AUTO 07006KT 10SM CLR 29/19 A2995 RMK AO2
CIN,2012-08-01 00:55,-94.7889,42.0444,84.20,66.20,M,M,M,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KCIN 010055Z AUTO 5.00000005KT 10SM CLR 29/19 A2995 RMK AO2
CIN,2012-08-01 01:00,-94.7889,42.0444,84.20,66.20,54.80,70.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.50,KCIN 010100Z AUTO 07005KT 10SM CLR 29/19 A2995 RMK AO2
