#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CNC,2012-08-01 00:00,-93.3608,41.0184,87.80,60.80,40.41,30.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.75,KCNC 010000Z AUTO 03004KT 10SM CLR 31/16 A2995 RMK AO2
CNC,2012-08-01 00:10,-93.3608,41.0184,87.80,62.60,43.07,10.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.48,KCNC 010010Z AUTO 01003KT 10SM CLR 31/17 A2995 RMK AO2
CNC,2012-08-01 00:15,-93.3608,41.0184,87.80,62.60,43.07,20.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.48,KCNC 010015Z AUTO 02004KT 10SM CLR 31/17 A2995 RMK AO2
CNC,2012-08-01 00:20,-93.3608,41.0184,86.00,64.40,48.58,20.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.49,KCNC 010020Z AUTO 02004KT 10SM CLR 30/18 A2995 RMK AO2
CNC,2012-08-01 00:30,-93.3608,41.0184,86.00,62.60,45.61,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.72,KCNC 010030Z AUTO 03005KT 10SM CLR 30/17 A2995 RMK AO2
CNC,2012-08-01 00:35,-93.3608,41.0184,84.20,64.40,51.47,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.71,KCNC 010035Z AUTO 03005KT 10SM CLR 29/18 A2995 RMK AO2
CNC,2012-08-01 00:40,-93.3608,41.0184,84.20,64.40,51.47,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.71,KCNC 010040Z AUTO 03005KT 10SM CLR 29/18 A2995 RMK AO2
CNC,2012-08-01 00:50,-93.3608,41.0184,82.40,64.40,54.55,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.98,KCNC 010050Z AUTO 03005KT 10SM CLR 28/18 A2995 RMK AO2
CNC,2012-08-01 00:55,-93.3608,41.0184,82.40,64.40,54.55,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.98,KCNC 010055Z AUTO 03005KT 10SM CLR 28/18 A2995 RMK AO2
CNC,2012-08-01 01:00,-93.3608,41.0184,82.40,64.40,54.55,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.98,KCNC 010100Z AUTO 03005KT 10SM CLR 28/18 A2995 RMK AO2
CNC,2012-08-01 01:10,-93.3608,41.0184,80.60,62.60,54.30,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.84,KCNC 010110Z AUTO 03005KT 10SM CLR 27/17 A2995 RMK AO2
CNC,2012-08-01 01:15,-93.3608,41.0184,80.60,62.60,54.30,30.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.84,KCNC 010115Z AUTO 03005KT 10SM CLR 27/17 A2995 RMK AO2
CNC,2012-08-01 01:20,-93.3608,41.0184,80.60,62.60,54.30,50.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.84,KCNC 010120Z AUTO 05004KT 10SM CLR 27/17 A2995 RMK AO2
CNC,2012-08-01 01:30,-93.3608,41.0184,80.60,62.60,54.30,40.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.84,KCNC 010130Z AUTO 04005KT 10SM CLR 27/17 A2995 RMK AO2
CNC,2012-08-01 01:35,-93.3608,41.0184,78.80,62.60,57.60,50.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KCNC 010135Z AUTO 05005KT 10SM CLR 26/17 A2995 RMK AO2
CNC,2012-08-01 01:40,-93.3608,41.0184,78.80,62.60,57.60,40.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KCNC 010140Z AUTO 04005KT 10SM CLR 26/17 A2996 RMK AO2
CNC,2012-08-01 01:50,-93.3608,41.0184,78.80,62.60,57.60,40.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KCNC 010150Z AUTO 04005KT 10SM CLR 26/17 A2996 RMK AO2
CNC,2012-08-01 01:55,-93.3608,41.0184,78.80,62.60,57.60,50.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KCNC 010155Z AUTO 05005KT 10SM CLR 26/17 A2996 RMK AO2
CNC,2012-08-01 02:00,-93.3608,41.0184,77.00,62.60,61.13,40.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KCNC 010200Z AUTO 04005KT 10SM CLR 25/17 A2996 RMK AO2
CNC,2012-08-01 02:10,-93.3608,41.0184,77.00,62.60,61.13,40.00,6.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KCNC 010210Z AUTO 04006KT 10SM CLR 25/17 A2996 RMK AO2
CNC,2012-08-01 02:15,-93.3608,41.0184,77.00,62.60,61.13,50.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KCNC 010215Z AUTO 05005KT 10SM CLR 25/17 A2996 RMK AO2
CNC,2012-08-01 02:20,-93.3608,41.0184,75.20,62.60,64.91,50.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCNC 010220Z AUTO 05005KT 10SM CLR 24/17 A2996 RMK AO2
CNC,2012-08-01 02:30,-93.3608,41.0184,75.20,62.60,64.91,40.00,7.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCNC 010230Z AUTO 04007KT 10SM CLR 24/17 A2996 RMK AO2
CNC,2012-08-01 02:35,-93.3608,41.0184,75.20,62.60,64.91,40.00,8.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCNC 010235Z AUTO 04008KT 10SM CLR 24/17 A2997 RMK AO2
CNC,2012-08-01 02:40,-93.3608,41.0184,75.20,62.60,64.91,40.00,6.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KCNC 010240Z AUTO 04006KT 10SM CLR 24/17 A2997 RMK AO2
CNC,2012-08-01 02:50,-93.3608,41.0184,73.40,62.60,68.94,50.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KCNC 010250Z AUTO 05005KT 10SM CLR 23/17 A2997 RMK AO2
CNC,2012-08-01 02:55,-93.3608,41.0184,73.40,62.60,68.94,50.00,6.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KCNC 010255Z AUTO 05006KT 10SM CLR 23/17 A2997 RMK AO2
