#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ICL,2012-08-01 00:00,-95.0223,40.7242,93.20,68.00,43.88,360.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,97.67,KICL 010000Z AUTO 36003KT 10SM CLR 34/20 A2992 RMK AO2
ICL,2012-08-01 00:10,-95.0223,40.7242,93.20,69.80,46.67,360.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.17,KICL 010010Z AUTO 36003KT 10SM CLR 34/21 A2992 RMK AO2
ICL,2012-08-01 00:15,-95.0223,40.7242,93.20,69.80,46.67,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.17,KICL 010015Z AUTO 00000KT 10SM CLR 34/21 A2992 RMK AO2
ICL,2012-08-01 00:20,-95.0223,40.7242,93.20,71.60,49.62,360.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.88,KICL 010020Z AUTO 36003KT 10SM CLR 34/22 A2992 RMK AO2
ICL,2012-08-01 00:30,-95.0223,40.7242,91.40,71.60,52.48,10.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.64,KICL 010030Z AUTO 01003KT 10SM CLR 33/22 A2992 RMK AO2
ICL,2012-08-01 00:35,-95.0223,40.7242,91.40,73.40,55.77,10.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.52,KICL 010035Z AUTO 01003KT 10SM CLR 33/23 A2992 RMK AO2
ICL,2012-08-01 00:40,-95.0223,40.7242,89.60,75.20,62.68,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.23,KICL 010040Z AUTO 00000KT 10SM CLR 32/24 A2992 RMK AO2
ICL,2012-08-01 00:50,-95.0223,40.7242,89.60,75.20,62.68,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.23,KICL 010050Z AUTO 00000KT 10SM CLR 32/24 A2992 RMK AO2
ICL,2012-08-01 00:55,-95.0223,40.7242,89.60,75.20,62.68,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.23,KICL 010055Z AUTO 00000KT 10SM CLR 32/24 A2992 RMK AO2
ICL,2012-08-01 01:00,-95.0223,40.7242,89.60,75.20,62.68,0.00,0.00,0.00,29.92,M,4.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,100.23,KICL 010100Z AUTO 00000KT 4SM HZ CLR 32/24 A2992 RMK AO2
