#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IKV,2012-08-01 00:00,-93.5695,41.6878,86.00,62.60,45.61,50.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.72,KIKV 010000Z AUTO 05003KT 10SM CLR 30/17 A2995 RMK AO2
IKV,2012-08-01 00:10,-93.5695,41.6878,86.00,62.60,45.61,50.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.72,KIKV 010010Z AUTO 05004KT 10SM CLR 30/17 A2995 RMK AO2
IKV,2012-08-01 00:15,-93.5695,41.6878,86.00,62.60,45.61,50.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.72,KIKV 010015Z AUTO 05003KT 10SM CLR 30/17 A2995 RMK AO2
IKV,2012-08-01 00:20,-93.5695,41.6878,86.00,64.40,48.58,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.49,KIKV 010020Z AUTO 00000KT 10SM CLR 30/18 A2995 RMK AO2
IKV,2012-08-01 00:30,-93.5695,41.6878,84.20,64.40,51.47,60.00,4.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,85.71,KIKV 010030Z AUTO 06004KT 10SM SCT095 29/18 A2996 RMK AO2
IKV,2012-08-01 00:35,-93.5695,41.6878,84.20,64.40,51.47,50.00,3.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,85.71,KIKV 010035Z AUTO 05003KT 10SM SCT095 29/18 A2996 RMK AO2
IKV,2012-08-01 00:40,-93.5695,41.6878,84.20,64.40,51.47,40.00,3.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,85.71,KIKV 010040Z AUTO 04003KT 10SM SCT095 29/18 A2996 RMK AO2
IKV,2012-08-01 00:50,-93.5695,41.6878,82.40,64.40,54.55,0.00,0.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,83.98,KIKV 010050Z AUTO 00000KT 10SM SCT095 28/18 A2996 RMK AO2
IKV,2012-08-01 00:55,-93.5695,41.6878,82.40,64.40,54.55,50.00,3.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,83.98,KIKV 010055Z AUTO 05003KT 10SM SCT095 28/18 A2996 RMK AO2
IKV,2012-08-01 01:00,-93.5695,41.6878,82.40,66.20,58.08,50.00,3.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,84.63,KIKV 010100Z AUTO 05003KT 10SM SCT095 28/19 A2996 RMK AO2
IKV,2012-08-01 01:10,-93.5695,41.6878,82.40,64.40,54.55,50.00,3.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,83.98,KIKV 010110Z AUTO 05003KT 10SM SCT095 28/18 A2996 RMK AO2
IKV,2012-08-01 01:15,-93.5695,41.6878,80.60,64.40,57.84,50.00,3.00,0.00,29.96,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,82.27,KIKV 010115Z AUTO 05003KT 10SM SCT085 27/18 A2996 RMK AO2
IKV,2012-08-01 01:20,-93.5695,41.6878,80.60,66.20,61.58,50.00,3.00,0.00,29.96,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,M,M,M,M,M,M,82.75,KIKV 010120Z AUTO 05003KT 10SM SCT085 27/19 A2996 RMK AO2
