#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
JFK,2012-08-01 00:51,-73.7622,40.6386,71.96,66.02,81.57,160.00,5.00,0.00,29.94,1013.90,10.00,M,FEW,SCT,M,M,2900.00,25000.00,M,M,M,M,M,M,M,M,M,71.96,KJFK 010051Z 16005KT 10SM FEW029 SCT250 22/19 A2994 RMK AO2 SLP139 T02220189
JFK,2012-08-01 01:51,-73.7622,40.6386,71.06,66.02,84.10,140.00,3.00,0.00,29.95,1014.20,10.00,M,FEW,SCT,M,M,2900.00,25000.00,M,M,M,M,M,M,M,M,M,71.06,KJFK 010151Z 14003KT 10SM FEW029 SCT250 22/19 A2995 RMK AO2 SLP142 T02170189
JFK,2012-08-01 02:51,-73.7622,40.6386,71.06,66.92,86.77,170.00,4.00,0.00,29.94,1013.90,10.00,M,FEW,SCT,M,M,1400.00,13000.00,M,M,M,M,M,M,M,M,M,71.06,KJFK 010251Z 17004KT 10SM FEW014 SCT130 22/19 A2994 RMK AO2 SLP139 T02170194 50005
JFK,2012-08-01 03:42,-73.7622,40.6386,71.60,66.20,83.09,210.00,7.00,0.00,29.95,M,10.00,M,BKN,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,71.60,KJFK 010342Z 21007KT 10SM BKN015 22/19 A2995 RMK AO2
JFK,2012-08-01 03:51,-73.7622,40.6386,73.04,66.92,81.14,200.00,8.00,0.00,29.95,1014.10,10.00,M,BKN,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,73.04,KJFK 010351Z 20008KT 10SM BKN016 23/19 A2995 RMK AO2 SLP141 T02280194
JFK,2012-08-01 04:29,-73.7622,40.6386,71.60,66.20,83.09,210.00,8.00,0.00,29.95,M,10.00,M,SCT,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,71.60,KJFK 010429Z 21008KT 10SM SCT018 22/19 A2995 RMK AO2
JFK,2012-08-01 04:51,-73.7622,40.6386,71.96,66.92,84.16,200.00,7.00,0.00,29.95,1014.10,10.00,M,SCT,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,71.96,KJFK 010451Z 20007KT 10SM SCT018 22/19 A2995 RMK AO2 SLP141 T02220194 402610211
JFK,2012-08-01 05:51,-73.7622,40.6386,73.04,68.00,84.22,170.00,6.00,0.00,29.93,1013.60,10.00,M,SCT,SCT,M,M,1600.00,14000.00,M,M,M,M,M,M,M,M,M,73.04,KJFK 010551Z 17006KT 10SM SCT016 SCT140 23/20 A2993 RMK AO2 SLP136 T02280200 10228 20217 58002
JFK,2012-08-01 06:51,-73.7622,40.6386,73.94,69.08,84.80,200.00,8.00,0.00,29.92,1013.10,10.00,M,SCT,BKN,BKN,M,1600.00,4000.00,14000.00,M,M,M,M,M,M,M,M,73.94,KJFK 010651Z 20008KT 10SM SCT016 BKN040 BKN140 23/21 A2992 RMK AO2 SLP131 T02330206
JFK,2012-08-01 07:51,-73.7622,40.6386,71.96,68.00,87.35,220.00,6.00,0.00,29.91,1012.70,10.00,M,FEW,SCT,SCT,M,1800.00,5000.00,10000.00,M,M,M,M,M,M,M,M,71.96,KJFK 010751Z 22006KT 10SM FEW018 SCT050 SCT100 22/20 A2991 RMK AO2 SLP127 T02220200
JFK,2012-08-01 08:51,-73.7622,40.6386,73.04,68.00,84.22,210.00,9.00,0.00,29.90,1012.50,10.00,M,FEW,BKN,M,M,2300.00,5500.00,M,M,M,M,M,M,M,M,M,73.04,KJFK 010851Z 21009KT 10SM FEW023 BKN055 23/20 A2990 RMK AO2 SLP125 T02280200 56012
JFK,2012-08-01 09:51,-73.7622,40.6386,71.96,69.08,90.66,220.00,6.00,0.00,29.91,1012.60,10.00,M,FEW,SCT,SCT,M,5500.00,10000.00,25000.00,M,M,M,M,M,M,M,M,71.96,KJFK 010951Z 22006KT 10SM FEW055 SCT100 SCT250 22/21 A2991 RMK AO2 SLP126 T02220206
JFK,2012-08-01 10:16,-73.7622,40.6386,73.40,69.80,88.51,230.00,6.00,0.00,29.91,M,10.00,M,BKN,BKN,BKN,M,2100.00,5500.00,25000.00,M,M,M,M,M,M,M,M,73.40,KJFK 011016Z 23006KT 10SM BKN021 BKN055 BKN250 23/21 A2991 RMK AO2 CB DSNT NW
JFK,2012-08-01 10:51,-73.7622,40.6386,75.02,69.98,84.34,210.00,8.00,0.00,29.92,1013.00,10.00,M,BKN,BKN,BKN,M,2100.00,4200.00,25000.00,M,M,M,M,M,M,M,M,75.02,KJFK 011051Z 21008KT 10SM BKN021 BKN042TCU BKN250 24/21 A2992 RMK AO2 SLP130 CB DSNT NW-N TCU W T02390211
JFK,2012-08-01 11:51,-73.7622,40.6386,75.92,69.98,81.85,210.00,7.00,0.00,29.92,1013.20,10.00,M,BKN,BKN,BKN,M,2100.00,3800.00,25000.00,M,M,M,M,M,M,M,M,75.92,KJFK 011151Z 21007KT 10SM BKN021 BKN038TCU BKN250 24/21 A2992 RMK AO2 SLP132 TCU W-N VCSH W-N T02440211 10244 20222 53007
JFK,2012-08-01 12:20,-73.7622,40.6386,75.20,71.60,88.59,200.00,7.00,0.00,29.92,M,10.00,M,FEW,BKN,BKN,BKN,1900.00,4800.00,10000.00,25000.00,M,M,M,M,M,M,M,75.20,KJFK 011220Z 20007KT 10SM FEW019 BKN048TCU BKN100 BKN250 24/22 A2992 RMK AO2 TCU NE AND DSNT S VCSH NE $
JFK,2012-08-01 12:51,-73.7622,40.6386,78.08,71.06,79.05,210.00,9.00,0.00,29.92,1013.10,10.00,M,SCT,BKN,BKN,BKN,2100.00,4400.00,7500.00,25000.00,M,M,M,M,M,M,M,78.08,KJFK 011251Z 21009KT 10SM SCT021 BKN044 BKN075 BKN250 26/22 A2992 RMK AO2 SLP131 SCT V BKN TCU DSNT N T02560217 $
JFK,2012-08-01 13:51,-73.7622,40.6386,78.98,71.06,76.74,210.00,7.00,0.00,29.91,1012.80,10.00,M,FEW,SCT,SCT,BKN,1100.00,4500.00,11000.00,25000.00,M,M,M,M,M,M,M,78.98,KJFK 011351Z 21007KT 10SM FEW011 SCT045 SCT110 BKN250 26/22 A2991 RMK AO2 SLP128 TCU DSNT NW T02610217
JFK,2012-08-01 14:51,-73.7622,40.6386,78.98,69.98,73.97,180.00,9.00,0.00,29.91,1012.70,10.00,M,FEW,SCT,BKN,BKN,1300.00,2100.00,4400.00,25000.00,M,M,M,M,M,M,M,78.98,KJFK 011451Z 18009KT 10SM FEW013 SCT021 BKN044 BKN250 26/21 A2991 RMK AO2 SLP127 SCT V BKN T02610211 57005
JFK,2012-08-01 15:27,-73.7622,40.6386,80.60,71.60,74.11,170.00,10.00,0.00,29.90,M,10.00,M,BKN,BKN,BKN,BKN,1700.00,3400.00,10000.00,25000.00,M,M,M,M,M,M,M,84.57,KJFK 011527Z 17010KT 10SM BKN017 BKN034CB BKN100 BKN250 27/22 A2990 RMK AO2 CB W-NE MOV E VCSH NW-NE
JFK,2012-08-01 15:41,-73.7622,40.6386,82.40,71.60,69.90,180.00,12.00,0.00,29.89,M,10.00,M,BKN,BKN,BKN,BKN,1700.00,3500.00,11000.00,25000.00,TS,M,M,M,M,M,M,87.18,KJFK 011541Z 18012KT 10SM TS BKN017 BKN035CB BKN110 BKN250 28/22 A2989 RMK AO2 TSB41 OCNL LTGIC N-NE TS N-NE MOV E BKN017 V SCT CB W AND DSNT SW MOV E VCSH W-NE
JFK,2012-08-01 15:51,-73.7622,40.6386,80.06,69.98,71.39,210.00,9.00,0.00,29.90,1012.30,10.00,M,BKN,BKN,BKN,BKN,1700.00,3200.00,11000.00,25000.00,TS,M,M,M,M,M,M,83.22,KJFK 011551Z 21009KT 10SM TS BKN017 BKN032CB BKN110 BKN250 27/21 A2990 RMK AO2 TSB41 SLP123 OCNL LTGICCG N-NE TS N-NE MOV E BKN017 V SCT CB W-NW AND DSNT SW MOV E VCSH W-NE T02670211
JFK,2012-08-01 16:11,-73.7622,40.6386,82.40,69.80,65.74,170.00,9.00,0.00,29.89,M,10.00,M,SCT,BKN,BKN,BKN,1700.00,3500.00,7000.00,25000.00,TS,M,M,M,M,M,M,86.22,KJFK 011611Z 17009KT 10SM TS SCT017 BKN035CB BKN070 BKN250 28/21 A2989 RMK AO2 OCNL LTGICCG N-NE TS N-NE MOV E CB NW AND DSNT SW MOV E VCSH NW-NE
JFK,2012-08-01 16:51,-73.7622,40.6386,78.98,71.06,76.74,190.00,11.00,0.00,29.89,1012.10,10.00,M,FEW,SCT,BKN,BKN,1500.00,3000.00,6000.00,25000.00,-TSRA,M,M,M,M,M,M,78.98,KJFK 011651Z 19011KT 10SM -TSRA FEW015 SCT030CB BKN060 BKN250 26/22 A2989 RMK AO2 RAB51 SLP121 OCNL LTGIC SW-W TS SW-W MOV E CB NW-NE MOV E VCSH SW-NE P0000 T02610217
JFK,2012-08-01 17:51,-73.7622,40.6386,75.02,71.06,87.50,210.00,8.00,0.04,29.89,1012.10,5.00,M,FEW,SCT,BKN,OVC,1300.00,3000.00,10000.00,25000.00,RA BR,M,M,M,M,M,M,75.02,KJFK 011751Z 21008KT 5SM RA BR FEW013 SCT030CB BKN100 OVC250 24/22 A2989 RMK AO2 TSE48 SLP121 CB OHD-N MOV E P0004 60004 T02390217 10278 20239 56006
JFK,2012-08-01 18:51,-73.7622,40.6386,75.92,73.04,90.80,200.00,5.00,0.03,29.87,1011.50,10.00,M,SCT,SCT,OVC,M,1200.00,4000.00,11000.00,M,-RA,M,M,M,M,M,M,75.92,KJFK 011851Z 20005KT 10SM -RA SCT012 SCT040 OVC110 24/23 A2987 RMK AO2 SLP115 P0003 T02440228
JFK,2012-08-01 19:37,-73.7622,40.6386,77.00,73.40,88.67,210.00,8.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,1600.00,4600.00,9000.00,M,-RA,M,M,M,M,M,M,77.00,KJFK 011937Z 21008KT 10SM -RA BKN016 BKN046 OVC090 25/23 A2988 RMK AO2 P0000
JFK,2012-08-01 19:51,-73.7622,40.6386,77.00,71.96,84.46,190.00,8.00,0.00,29.88,1011.60,10.00,M,BKN,BKN,OVC,M,1600.00,4800.00,10000.00,M,-RA,M,M,M,M,M,M,77.00,KJFK 011951Z 19008KT 10SM -RA BKN016 BKN048 OVC100 25/22 A2988 RMK AO2 SLP116 P0000 T02500222
JFK,2012-08-01 20:15,-73.7622,40.6386,77.00,71.60,83.44,190.00,10.00,0.00,29.88,M,10.00,M,SCT,SCT,OVC,M,1300.00,3400.00,11000.00,M,M,M,M,M,M,M,M,77.00,KJFK 012015Z 19010KT 10SM SCT013 SCT034 OVC110 25/22 A2988 RMK AO2 RAE1958 P0000
JFK,2012-08-01 20:51,-73.7622,40.6386,77.00,71.96,84.46,190.00,7.00,0.00,29.88,1011.70,10.00,M,SCT,SCT,OVC,M,1600.00,3400.00,11000.00,M,M,M,M,M,M,M,M,77.00,KJFK 012051Z 19007KT 10SM SCT016 SCT034 OVC110 25/22 A2988 RMK AO2 RAE1958 SLP117 P0000 60003 T02500222 55004
JFK,2012-08-01 21:51,-73.7622,40.6386,77.00,71.96,84.46,210.00,9.00,0.00,29.86,1011.10,10.00,M,SCT,SCT,OVC,M,1300.00,2700.00,13000.00,M,M,M,M,M,M,M,M,77.00,KJFK 012151Z 21009KT 10SM SCT013 SCT027 OVC130 25/22 A2986 RMK AO2 SLP111 T02500222
JFK,2012-08-01 22:51,-73.7622,40.6386,75.02,71.06,87.50,0.00,0.00,0.00,29.86,1011.20,10.00,M,FEW,SCT,BKN,BKN,1200.00,2700.00,12000.00,25000.00,M,M,M,M,M,M,M,75.02,KJFK 012251Z 00000KT 10SM FEW012 SCT027 BKN120 BKN250 24/22 A2986 RMK AO2 SLP112 TCU DSNT SE AND DSNT W T02390217
JFK,2012-08-01 23:51,-73.7622,40.6386,75.02,68.00,78.81,260.00,3.00,0.00,29.86,1011.00,10.00,M,FEW,SCT,SCT,BKN,1200.00,2700.00,11000.00,13000.00,M,M,M,M,M,M,M,75.02,KJFK 012351Z 26003KT 10SM FEW012 SCT027 SCT110 BKN130 BKN250 24/20 A2986 RMK AO2 RAB06E43 SLP110 P0000 60003 T02390200 10256 20233 56006
JFK,2012-08-02 00:51,-73.7622,40.6386,75.92,69.08,79.37,0.00,0.00,0.00,29.87,1011.30,10.00,M,FEW,SCT,BKN,BKN,1200.00,3600.00,11000.00,25000.00,M,M,M,M,M,M,M,75.92,KJFK 020051Z 00000KT 10SM FEW012 SCT036 BKN110 BKN250 24/21 A2987 RMK AO2 SLP113 T02440206
JFK,2012-08-02 01:51,-73.7622,40.6386,75.02,69.08,81.79,0.00,0.00,0.00,29.86,1011.10,10.00,M,FEW,SCT,BKN,OVC,1200.00,3600.00,11000.00,13000.00,M,M,M,M,M,M,M,75.02,KJFK 020151Z 00000KT 10SM FEW012 SCT036 BKN110 OVC130 24/21 A2986 RMK AO2 SLP111 T02390206
JFK,2012-08-02 02:51,-73.7622,40.6386,73.94,69.98,87.45,0.00,0.00,0.00,29.86,1011.10,10.00,M,FEW,OVC,M,M,11000.00,20000.00,M,M,M,M,M,M,M,M,M,73.94,KJFK 020251Z 00000KT 10SM FEW110 OVC200 23/21 A2986 RMK AO2 SLP111 T02330211 51001
JFK,2012-08-02 03:51,-73.7622,40.6386,73.94,69.98,87.45,0.00,0.00,0.00,29.85,1010.90,10.00,M,FEW,OVC,M,M,10000.00,15000.00,M,M,M,M,M,M,M,M,M,73.94,KJFK 020351Z 00000KT 10SM FEW100 OVC150 23/21 A2985 RMK AO2 SLP109 T02330211
JFK,2012-08-02 04:51,-73.7622,40.6386,73.94,69.98,87.45,240.00,4.00,0.00,29.88,1011.70,10.00,M,FEW,OVC,M,M,1500.00,9000.00,M,M,M,M,M,M,M,M,M,73.94,KJFK 020451Z 24004KT 10SM FEW015 OVC090 23/21 A2988 RMK AO2 SLP117 T02330211 402780222 $
JFK,2012-08-02 05:51,-73.7622,40.6386,73.04,69.08,87.41,260.00,6.00,0.00,29.86,1011.20,10.00,M,SCT,OVC,M,M,8500.00,19000.00,M,M,M,M,M,M,M,M,M,73.04,KJFK 020551Z 26006KT 10SM SCT085 OVC190 23/21 A2986 RMK AO2 SLP112 T02280206 10244 20228 50001
JFK,2012-08-02 06:51,-73.7622,40.6386,71.06,68.00,90.06,230.00,5.00,0.00,29.86,1011.00,10.00,M,SCT,BKN,M,M,6000.00,15000.00,M,M,M,M,M,M,M,M,M,71.06,KJFK 020651Z 23005KT 10SM SCT060 BKN150 22/20 A2986 RMK AO2 SLP110 T02170200
JFK,2012-08-02 07:51,-73.7622,40.6386,71.96,68.00,87.35,260.00,4.00,0.00,29.85,1010.90,10.00,M,FEW,SCT,M,M,6000.00,15000.00,M,M,M,M,M,M,M,M,M,71.96,KJFK 020751Z 26004KT 10SM FEW060 SCT150 22/20 A2985 RMK AO2 SLP109 T02220200
JFK,2012-08-02 08:51,-73.7622,40.6386,71.96,68.00,87.35,260.00,5.00,0.00,29.86,1011.00,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,71.96,KJFK 020851Z 26005KT 10SM FEW060 22/20 A2986 RMK AO2 SLP110 T02220200 55002 $
JFK,2012-08-02 09:51,-73.7622,40.6386,71.96,69.08,90.66,250.00,7.00,0.00,29.87,1011.40,8.00,M,SCT,M,M,M,3700.00,M,M,M,M,M,M,M,M,M,M,71.96,KJFK 020951Z 25007KT 8SM SCT037 22/21 A2987 RMK AO2 SLP114 T02220206 $
