#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LGA,2012-08-01 00:51,-73.8803,40.7794,75.02,66.92,75.93,210.00,6.00,0.00,29.93,1013.30,10.00,M,SCT,SCT,M,M,2900.00,25000.00,M,M,M,M,M,M,M,M,M,75.02,KLGA 010051Z 21006KT 10SM SCT029 SCT250 24/19 A2993 RMK AO2 SLP133 T02390194
LGA,2012-08-01 01:51,-73.8803,40.7794,75.02,66.02,73.59,140.00,7.00,0.00,29.93,1013.50,10.00,M,FEW,SCT,M,M,2900.00,25000.00,M,M,M,M,M,M,M,M,M,75.02,KLGA 010151Z 14007KT 10SM FEW029 SCT250 24/19 A2993 RMK AO2 SLP135 T02390189
LGA,2012-08-01 02:51,-73.8803,40.7794,73.94,66.02,76.31,180.00,5.00,0.00,29.93,1013.40,10.00,M,FEW,SCT,M,M,2000.00,25000.00,M,M,M,M,M,M,M,M,M,73.94,KLGA 010251Z 18005KT 10SM FEW020 SCT250 23/19 A2993 RMK AO2 SLP134 T02330189 50006
LGA,2012-08-01 03:43,-73.8803,40.7794,73.40,66.20,78.19,200.00,7.00,0.00,29.93,M,10.00,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,73.40,KLGA 010343Z 20007KT 10SM BKN023 23/19 A2993 RMK AO2
LGA,2012-08-01 03:51,-73.8803,40.7794,73.94,66.02,76.31,200.00,9.00,0.00,29.93,1013.50,10.00,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,73.94,KLGA 010351Z 20009KT 10SM BKN023 23/19 A2993 RMK AO2 SLP135 T02330189
LGA,2012-08-01 04:47,-73.8803,40.7794,73.40,66.20,78.19,180.00,7.00,0.00,29.93,M,10.00,M,SCT,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,73.40,KLGA 010447Z 18007KT 10SM SCT019 23/19 A2993 RMK AO2 402560217
LGA,2012-08-01 04:51,-73.8803,40.7794,73.04,66.92,81.14,170.00,5.00,0.00,29.92,1013.30,10.00,M,SCT,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,73.04,KLGA 010451Z 17005KT 10SM SCT019 23/19 A2992 RMK AO2 SLP133 T02280194 402560217
LGA,2012-08-01 05:51,-73.8803,40.7794,73.04,68.00,84.22,180.00,8.00,0.00,29.91,1012.90,10.00,M,SCT,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,73.04,KLGA 010551Z 18008KT 10SM SCT032 23/20 A2991 RMK AO2 SLP129 T02280200 10250 20228 58004
LGA,2012-08-01 06:51,-73.8803,40.7794,73.04,68.00,84.22,190.00,8.00,0.00,29.90,1012.50,10.00,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,73.04,KLGA 010651Z 19008KT 10SM SCT026 23/20 A2990 RMK AO2 SLP125 T02280200
LGA,2012-08-01 07:10,-73.8803,40.7794,73.40,68.00,83.21,200.00,7.00,0.00,29.90,M,10.00,M,BKN,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,73.40,KLGA 010710Z 20007KT 10SM BKN026 23/20 A2990 RMK AO2
LGA,2012-08-01 07:29,-73.8803,40.7794,73.40,68.00,83.21,210.00,10.00,0.00,29.89,M,10.00,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,73.40,KLGA 010729Z 21010KT 10SM SCT026 23/20 A2989 RMK AO2
LGA,2012-08-01 07:51,-73.8803,40.7794,73.94,66.92,78.72,210.00,7.00,0.00,29.89,1012.10,10.00,M,SCT,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,73.94,KLGA 010751Z 21007KT 10SM SCT028 23/19 A2989 RMK AO2 SLP121 T02330194
LGA,2012-08-01 08:51,-73.8803,40.7794,73.04,66.92,81.14,210.00,7.00,0.00,29.88,1011.90,10.00,M,FEW,SCT,M,M,2800.00,25000.00,M,M,M,M,M,M,M,M,M,73.04,KLGA 010851Z 21007KT 10SM FEW028 SCT250 23/19 A2988 RMK AO2 SLP119 T02280194 56010
LGA,2012-08-01 09:46,-73.8803,40.7794,73.40,68.00,83.21,220.00,4.00,0.00,29.89,M,10.00,M,BKN,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,73.40,KLGA 010946Z 22004KT 10SM BKN016 23/20 A2989 RMK AO2
LGA,2012-08-01 09:51,-73.8803,40.7794,73.94,68.00,81.71,220.00,6.00,0.00,29.89,1012.10,10.00,M,BKN,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,73.94,KLGA 010951Z 22006KT 10SM BKN016 23/20 A2989 RMK AO2 SLP121 T02330200
LGA,2012-08-01 10:51,-73.8803,40.7794,75.02,69.08,81.79,200.00,5.00,0.00,29.90,1012.30,10.00,M,BKN,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,75.02,KLGA 011051Z 20005KT 10SM BKN022 24/21 A2990 RMK AO2 SLP123 T02390206
LGA,2012-08-01 11:37,-73.8803,40.7794,73.40,71.60,94.10,0.00,0.00,0.16,29.90,M,3.00,M,BKN,OVC,M,M,1300.00,2900.00,M,M,+RA BR,M,M,M,M,M,M,73.40,KLGA 011137Z 00000KT 3SM +RA BR BKN013 OVC029 23/22 A2990 RMK AO2 RAB1054 P0016
LGA,2012-08-01 11:51,-73.8803,40.7794,73.94,71.96,93.54,220.00,3.00,0.24,29.90,1012.60,5.00,M,BKN,BKN,OVC,M,1300.00,2200.00,2400.00,M,-RA BR,M,M,M,M,M,M,73.94,KLGA 011151Z 22003KT 5SM -RA BR BKN013 BKN022 OVC024 23/22 A2990 RMK AO2 RAB1054 SLP126 P0024 60024 70024 T02330222 10244 20228 53005
LGA,2012-08-01 12:08,-73.8803,40.7794,73.40,71.60,94.10,180.00,5.00,0.01,29.90,M,10.00,M,SCT,BKN,BKN,BKN,1500.00,4100.00,7000.00,15000.00,M,M,M,M,M,M,M,73.40,KLGA 011208Z 18005KT 10SM SCT015 BKN041 BKN070 BKN150 23/22 A2990 RMK AO2 RAE08 P0001
LGA,2012-08-01 12:51,-73.8803,40.7794,75.02,71.06,87.50,230.00,7.00,0.01,29.90,1012.40,10.00,M,FEW,BKN,BKN,M,1500.00,2000.00,11000.00,M,M,M,M,M,M,M,M,75.02,KLGA 011251Z 23007KT 10SM FEW015 BKN020 BKN110 24/22 A2990 RMK AO2 RAE08 SLP124 P0001 T02390217
LGA,2012-08-01 13:09,-73.8803,40.7794,75.20,71.60,88.59,230.00,7.00,0.00,29.90,M,10.00,M,FEW,SCT,BKN,M,1200.00,3900.00,11000.00,M,M,M,M,M,M,M,M,75.20,KLGA 011309Z 23007KT 10SM FEW012 SCT039 BKN110 24/22 A2990 RMK AO2
LGA,2012-08-01 13:51,-73.8803,40.7794,77.00,71.06,81.92,200.00,6.00,0.00,29.90,1012.30,10.00,M,FEW,BKN,BKN,M,1500.00,3500.00,11000.00,M,M,M,M,M,M,M,M,77.00,KLGA 011351Z 20006KT 10SM FEW015 BKN035 BKN110 25/22 A2990 RMK AO2 SLP123 T02500217
LGA,2012-08-01 14:51,-73.8803,40.7794,78.98,68.00,69.11,250.00,6.00,0.00,29.89,1012.00,10.00,M,FEW,BKN,OVC,M,2300.00,3700.00,11000.00,M,M,M,M,M,M,M,M,78.98,KLGA 011451Z 25006KT 10SM FEW023 BKN037 OVC110 26/20 A2989 RMK AO2 SLP120 60001 T02610200 58006
