#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
NYC,2012-08-01 00:51,-73.9693,40.7790,71.96,64.94,78.57,0.00,0.00,M,29.96,1013.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.96,KNYC 010051Z AUTO 00000KT 10SM CLR 22/18 A2996 RMK AO2 SLP137 T02220183
NYC,2012-08-01 01:51,-73.9693,40.7790,71.06,64.94,81.00,0.00,0.00,M,29.97,1013.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.06,KNYC 010151Z AUTO 00000KT 10SM CLR 22/18 A2997 RMK AO2 SLP138 T02170183
NYC,2012-08-01 02:51,-73.9693,40.7790,71.96,64.94,78.57,M,3.00,M,29.96,1013.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.96,KNYC 010251Z AUTO VRB03KT 10SM CLR 22/18 A2996 RMK AO2 SLP135 T02220183 50005
NYC,2012-08-01 03:17,-73.9693,40.7790,71.96,64.94,78.57,M,3.00,M,29.96,M,10.00,M,BKN,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,71.96,KNYC 010317Z AUTO VRB03KT 10SM BKN020 22/18 A2996 RMK AO2 T02220183
NYC,2012-08-01 03:51,-73.9693,40.7790,71.96,66.02,81.57,M,5.00,M,29.96,1013.50,10.00,M,BKN,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,71.96,KNYC 010351Z AUTO VRB05KT 10SM BKN019 22/19 A2996 RMK AO2 SLP135 T02220189
NYC,2012-08-01 04:13,-73.9693,40.7790,71.96,66.02,81.57,220.00,7.00,M,29.96,M,10.00,M,SCT,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,71.96,KNYC 010413Z AUTO 22007KT 170V250 10SM SCT019 22/19 A2996 RMK AO2 T02220189
NYC,2012-08-01 04:51,-73.9693,40.7790,71.96,66.02,81.57,M,3.00,M,29.96,1013.40,10.00,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,71.96,KNYC 010451Z AUTO VRB03KT 10SM FEW018 22/19 A2996 RMK AO2 SLP134 T02220189 402670211
NYC,2012-08-01 05:17,-73.9693,40.7790,71.96,66.92,84.16,170.00,3.00,M,29.95,M,10.00,M,FEW,BKN,BKN,M,1600.00,2900.00,3600.00,M,M,M,M,M,M,M,M,71.96,KNYC 010517Z 17003KT 10SM FEW016 BKN029 BKN036 22/19 A2995 RMK AO2 T02220194
NYC,2012-08-01 05:43,-73.9693,40.7790,71.96,66.92,84.16,M,3.00,M,29.94,M,10.00,M,SCT,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,71.96,KNYC 010543Z VRB03KT 10SM SCT019 22/19 A2994 RMK AO2 T02220194
NYC,2012-08-01 05:51,-73.9693,40.7790,71.96,66.92,84.16,180.00,4.00,M,29.94,1013.00,10.00,M,FEW,SCT,M,M,1900.00,2600.00,M,M,M,M,M,M,M,M,M,71.96,KNYC 010551Z 18004KT 10SM FEW019 SCT026 22/19 A2994 RMK AO2 SLP130 T02220194 10228 20217 58005
