#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2012-08-01 00:00:00+00:00 2012-09-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
TVK,2012-08-01 00:00,-92.8983,40.6832,89.60,59.00,35.81,10.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.60,KTVK 010000Z AUTO 01004KT 10SM CLR 32/15 A2995 RMK AO2
TVK,2012-08-01 00:10,-92.8983,40.6832,87.80,60.80,40.41,10.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.75,KTVK 010010Z AUTO 01004KT 10SM CLR 31/16 A2995 RMK AO2
TVK,2012-08-01 00:15,-92.8983,40.6832,87.80,60.80,40.41,10.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.75,KTVK 010015Z AUTO 01004KT 10SM CLR 31/16 A2995 RMK AO2
TVK,2012-08-01 00:20,-92.8983,40.6832,86.00,59.00,40.14,20.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.47,KTVK 010020Z AUTO 02004KT 10SM CLR 30/15 A2996 RMK AO2
TVK,2012-08-01 00:30,-92.8983,40.6832,86.00,59.00,40.14,20.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.47,KTVK 010030Z AUTO 02004KT 10SM CLR 30/15 A2996 RMK AO2
TVK,2012-08-01 00:35,-92.8983,40.6832,84.20,60.80,45.34,30.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.43,KTVK 010035Z AUTO 03004KT 10SM CLR 29/16 A2996 RMK AO2
TVK,2012-08-01 00:40,-92.8983,40.6832,84.20,59.00,42.52,30.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.92,KTVK 010040Z AUTO 03004KT 10SM CLR 29/15 A2996 RMK AO2
TVK,2012-08-01 00:50,-92.8983,40.6832,84.20,60.80,45.34,30.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.43,KTVK 010050Z AUTO 03003KT 10SM CLR 29/16 A2996 RMK AO2
TVK,2012-08-01 00:55,-92.8983,40.6832,82.40,60.80,48.05,30.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.90,KTVK 010055Z AUTO 03003KT 10SM CLR 28/16 A2996 RMK AO2
TVK,2012-08-01 01:00,-92.8983,40.6832,82.40,60.80,48.05,20.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.90,KTVK 010100Z AUTO 02004KT 10SM CLR 28/16 A2996 RMK AO2
TVK,2012-08-01 01:10,-92.8983,40.6832,80.60,62.60,54.30,20.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.84,KTVK 010110Z AUTO 02004KT 10SM CLR 27/17 A2995 RMK AO2
TVK,2012-08-01 01:15,-92.8983,40.6832,80.60,62.60,54.30,20.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.84,KTVK 010115Z AUTO 02005KT 10SM CLR 27/17 A2995 RMK AO2
TVK,2012-08-01 01:20,-92.8983,40.6832,78.80,62.60,57.60,10.00,6.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KTVK 010120Z AUTO 01006KT 10SM CLR 26/17 A2995 RMK AO2
TVK,2012-08-01 01:30,-92.8983,40.6832,77.00,60.80,57.36,20.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010130Z AUTO 02005KT 10SM CLR 25/16 A2996 RMK AO2
TVK,2012-08-01 01:35,-92.8983,40.6832,78.80,60.80,54.05,20.00,6.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KTVK 010135Z AUTO 02006KT 10SM CLR 26/16 A2996 RMK AO2
TVK,2012-08-01 01:40,-92.8983,40.6832,77.00,60.80,57.36,20.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010140Z AUTO 02005KT 10SM CLR 25/16 A2996 RMK AO2
TVK,2012-08-01 01:50,-92.8983,40.6832,77.00,60.80,57.36,20.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010150Z AUTO 02005KT 10SM CLR 25/16 A2996 RMK AO2
TVK,2012-08-01 01:55,-92.8983,40.6832,77.00,60.80,57.36,30.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010155Z AUTO 03005KT 10SM CLR 25/16 A2996 RMK AO2
TVK,2012-08-01 02:00,-92.8983,40.6832,77.00,60.80,57.36,30.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010200Z AUTO 03004KT 10SM CLR 25/16 A2996 RMK AO2
TVK,2012-08-01 02:10,-92.8983,40.6832,77.00,62.60,61.13,20.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010210Z AUTO 02005KT 10SM CLR 25/17 A2997 RMK AO2
TVK,2012-08-01 02:15,-92.8983,40.6832,77.00,62.60,61.13,20.00,6.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010215Z AUTO 02006KT 10SM CLR 25/17 A2997 RMK AO2
TVK,2012-08-01 02:20,-92.8983,40.6832,77.00,62.60,61.13,20.00,6.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010220Z AUTO 02006KT 10SM CLR 25/17 A2997 RMK AO2
TVK,2012-08-01 02:30,-92.8983,40.6832,77.00,60.80,57.36,20.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010230Z AUTO 02005KT 10SM CLR 25/16 A2997 RMK AO2
TVK,2012-08-01 02:35,-92.8983,40.6832,75.20,62.60,64.91,20.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010235Z AUTO 02005KT 10SM CLR 24/17 A2997 RMK AO2
TVK,2012-08-01 02:40,-92.8983,40.6832,75.20,62.60,64.91,30.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010240Z AUTO 03005KT 10SM CLR 24/17 A2997 RMK AO2
TVK,2012-08-01 02:50,-92.8983,40.6832,75.20,62.60,64.91,20.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010250Z AUTO 02005KT 10SM CLR 24/17 A2997 RMK AO2
TVK,2012-08-01 02:55,-92.8983,40.6832,75.20,62.60,64.91,20.00,6.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010255Z AUTO 02006KT 10SM CLR 24/17 A2998 RMK AO2
TVK,2012-08-01 03:00,-92.8983,40.6832,75.20,62.60,64.91,20.00,6.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010300Z AUTO 02006KT 10SM CLR 24/17 A2998 RMK AO2
TVK,2012-08-01 03:10,-92.8983,40.6832,75.20,62.60,64.91,40.00,6.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010310Z AUTO 04006KT 10SM CLR 24/17 A2998 RMK AO2
TVK,2012-08-01 03:15,-92.8983,40.6832,77.00,62.60,61.13,40.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010315Z AUTO 04004KT 10SM CLR 25/17 A2998 RMK AO2
TVK,2012-08-01 03:20,-92.8983,40.6832,77.00,62.60,61.13,40.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KTVK 010320Z AUTO 04004KT 10SM CLR 25/17 A2998 RMK AO2
TVK,2012-08-01 03:30,-92.8983,40.6832,75.20,62.60,64.91,30.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010330Z AUTO 03004KT 10SM CLR 24/17 A2998 RMK AO2
TVK,2012-08-01 03:35,-92.8983,40.6832,75.20,62.60,64.91,30.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010335Z AUTO 03004KT 10SM CLR 24/17 A2998 RMK AO2
TVK,2012-08-01 03:40,-92.8983,40.6832,75.20,62.60,64.91,30.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,KTVK 010340Z AUTO 03004KT 10SM CLR 24/17 A2998 RMK AO2
TVK,2012-08-01 03:50,-92.8983,40.6832,73.40,62.60,68.94,40.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KTVK 010350Z AUTO 04003KT 10SM CLR 23/17 A2998 RMK AO2
TVK,2012-08-01 03:55,-92.8983,40.6832,73.40,62.60,68.94,40.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KTVK 010355Z AUTO 04005KT 10SM CLR 23/17 A2998 RMK AO2
TVK,2012-08-01 04:00,-92.8983,40.6832,73.40,62.60,68.94,30.00,4.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KTVK 010400Z AUTO 03004KT 10SM CLR 23/17 A2999 RMK AO2
TVK,2012-08-01 04:05,-92.8983,40.6832,73.40,62.60,68.94,30.00,3.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KTVK 010405Z AUTO 03003KT 10SM CLR 23/17 A2999 RMK AO2
TVK,2012-08-01 04:15,-92.8983,40.6832,73.40,62.60,68.94,60.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KTVK 010415Z AUTO 06003KT 10SM CLR 23/17 A2998 RMK AO2
TVK,2012-08-01 04:30,-92.8983,40.6832,73.40,62.60,68.94,40.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KTVK 010430Z AUTO 04005KT 10SM CLR 23/17 A2998 RMK AO2
TVK,2012-08-01 04:35,-92.8983,40.6832,71.60,62.60,73.27,30.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010435Z AUTO 03004KT 10SM CLR 22/17 A2998 RMK AO2
TVK,2012-08-01 04:40,-92.8983,40.6832,71.60,62.60,73.27,20.00,4.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010440Z AUTO 02004KT 10SM CLR 22/17 A2999 RMK AO2
TVK,2012-08-01 04:50,-92.8983,40.6832,71.60,62.60,73.27,30.00,4.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010450Z AUTO 03004KT 10SM CLR 22/17 A2999 RMK AO2
TVK,2012-08-01 04:55,-92.8983,40.6832,71.60,62.60,73.27,30.00,3.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010455Z AUTO 03003KT 10SM CLR 22/17 A2999 RMK AO2
TVK,2012-08-01 05:00,-92.8983,40.6832,71.60,62.60,73.27,40.00,5.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010500Z AUTO 04005KT 10SM CLR 22/17 A2999 RMK AO2
TVK,2012-08-01 05:10,-92.8983,40.6832,71.60,62.60,73.27,50.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010510Z AUTO 05005KT 10SM CLR 22/17 A2998 RMK AO2
TVK,2012-08-01 05:15,-92.8983,40.6832,71.60,62.60,73.27,50.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010515Z AUTO 05004KT 10SM CLR 22/17 A2998 RMK AO2
TVK,2012-08-01 05:20,-92.8983,40.6832,71.60,62.60,73.27,60.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010520Z AUTO 06004KT 10SM CLR 22/17 A2998 RMK AO2
TVK,2012-08-01 05:30,-92.8983,40.6832,71.60,62.60,73.27,60.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010530Z AUTO 06004KT 10SM CLR 22/17 A2998 RMK AO2
TVK,2012-08-01 05:35,-92.8983,40.6832,71.60,62.60,73.27,50.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KTVK 010535Z AUTO 05004KT 10SM CLR 22/17 A2998 RMK AO2
TVK,2012-08-01 05:40,-92.8983,40.6832,69.80,62.60,77.90,50.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010540Z AUTO 05004KT 10SM CLR 21/17 A2998 RMK AO2
TVK,2012-08-01 05:50,-92.8983,40.6832,69.80,62.60,77.90,40.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010550Z AUTO 04003KT 10SM CLR 21/17 A2998 RMK AO2
TVK,2012-08-01 05:55,-92.8983,40.6832,69.80,62.60,77.90,50.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010555Z AUTO 05003KT 10SM CLR 21/17 A2998 RMK AO2
TVK,2012-08-01 06:00,-92.8983,40.6832,69.80,62.60,77.90,50.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010600Z AUTO 05003KT 10SM CLR 21/17 A2998 RMK AO2
TVK,2012-08-01 06:10,-92.8983,40.6832,69.80,62.60,77.90,60.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010610Z AUTO 06003KT 10SM CLR 21/17 A2998 RMK AO2
TVK,2012-08-01 06:15,-92.8983,40.6832,69.80,62.60,77.90,70.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010615Z AUTO 07003KT 10SM CLR 21/17 A2998 RMK AO2
TVK,2012-08-01 06:20,-92.8983,40.6832,69.80,62.60,77.90,60.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010620Z AUTO 06003KT 10SM CLR 21/17 A2998 RMK AO2
TVK,2012-08-01 06:30,-92.8983,40.6832,68.00,62.60,82.86,60.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010630Z AUTO 06003KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 06:35,-92.8983,40.6832,68.00,62.60,82.86,50.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010635Z AUTO 05003KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 06:40,-92.8983,40.6832,68.00,62.60,82.86,50.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010640Z AUTO 05003KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 06:50,-92.8983,40.6832,68.00,62.60,82.86,60.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010650Z AUTO 06004KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 06:55,-92.8983,40.6832,68.00,62.60,82.86,50.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010655Z AUTO 05005KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 07:00,-92.8983,40.6832,68.00,62.60,82.86,40.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010700Z AUTO 04005KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 07:10,-92.8983,40.6832,68.00,62.60,82.86,50.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010710Z AUTO 05005KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 07:15,-92.8983,40.6832,68.00,62.60,82.86,50.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KTVK 010715Z AUTO 05004KT 10SM CLR 20/17 A2998 RMK AO2
TVK,2012-08-01 07:20,-92.8983,40.6832,69.80,62.60,77.90,50.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010720Z AUTO 05005KT 10SM CLR 21/17 A2997 RMK AO2
TVK,2012-08-01 07:30,-92.8983,40.6832,69.80,62.60,77.90,60.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010730Z AUTO 06004KT 10SM CLR 21/17 A2997 RMK AO2
TVK,2012-08-01 07:35,-92.8983,40.6832,69.80,62.60,77.90,60.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KTVK 010735Z AUTO 06005KT 10SM CLR 21/17 A2997 RMK AO2
